session 1||00685582-9395-4bcb-a745-4ed8dd8cf3b2||3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;1599187;1599187;1599187;1599187;1599187;1599187;1599187;1599187;1599187;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;3577475;||['3577475']||['3577475']||1||2015-02-22 20:28:59||2015-02-22 20:53:19||2015-03-22 09:08:40||['2015-02-22 20:57:05']||1460.0||2376921.0
session 2||00685582-9395-4bcb-a745-4ed8dd8cf3b2||3223815;8720825;||['3577475']||[]||0||2015-02-22 20:28:59||2015-03-22 09:08:40||2015-03-28 11:30:26||['2015-02-22 20:57:05']||0.0||526906.0
session 3||00685582-9395-4bcb-a745-4ed8dd8cf3b2||8720825;8720825;8720825;8720825;8720825;8720825;8720825;8720825;8720825;8720825;8720825;8720825;8720825;||['3577475']||[]||0||2015-02-22 20:28:59||2015-03-28 11:30:26||2015-03-28 11:30:26||['2015-02-22 20:57:05']||0.0||0
session 1||007486a1-5ca8-4983-9b58-238cc0cc9727||2967378;8334431;8334431;8334431;8334431;8334431;||['1419614', '8327149', '8334431']||['8334431']||1||2015-02-26 10:25:55||2015-02-26 10:27:52||2015-03-04 18:18:52||[]||117.0||546660.0
session 2||007486a1-5ca8-4983-9b58-238cc0cc9727||8327149;8327149;8327149;8327149;8327149;8327149;8327149;8327149;8327149;8327149;8327149;8327149;8327149;8327149;2967378;||['1419614', '8327149', '8334431']||['8327149']||1||2015-02-26 10:25:55||2015-03-04 18:18:52||2015-03-05 08:48:07||['2015-03-04 18:22:27']||0.0||52155.0
session 3||007486a1-5ca8-4983-9b58-238cc0cc9727||2967378;8334431;8334431;8334431;8334431;8334431;8334431;8334431;8334431;8334431;8334431;2476584;1023055;||['1419614', '8327149', '8334431']||['8334431']||1||2015-02-26 10:25:55||2015-03-05 09:13:49||2015-03-13 15:43:25||['2015-03-04 18:22:27', '2015-03-05 09:07:23']||1542.0||714576.0
session 4||007486a1-5ca8-4983-9b58-238cc0cc9727||1023055;1023055;1023055;1023055;1023055;1023055;1023055;1023055;1023055;3464784;||['1419614', '8327149', '8334431']||[]||0||2015-02-26 10:25:55||2015-03-13 15:43:26||2015-03-13 18:37:06||['2015-03-04 18:22:27', '2015-03-05 09:07:23']||1.0||10420.0
session 5||007486a1-5ca8-4983-9b58-238cc0cc9727||3464784;3464784;3464784;3464784;3464784;3464784;3464784;3464784;3464784;3464784;3464784;3464784;3464784;3464784;3464784;3464784;1419614;||['1419614', '8327149', '8334431']||['1419614']||1||2015-02-26 10:25:55||2015-03-13 18:39:56||2015-03-24 08:40:04||['2015-03-04 18:22:27', '2015-03-05 09:07:23']||170.0||914408.0
session 6||007486a1-5ca8-4983-9b58-238cc0cc9727||1419614;1419614;1419614;1419614;1419614;||['1419614', '8327149', '8334431']||['1419614']||1||2015-02-26 10:25:55||2015-03-24 08:40:04||2015-03-24 08:40:04||['2015-03-24 08:42:43', '2015-03-04 18:22:27', '2015-03-05 09:07:23']||0.0||0
session 1||009f915a-d018-4f00-9bf1-3b027c1282cb||2640248;2640248;2640248;2640248;2640248;2640248;2640248;2640248;2640248;||['2640248']||['2640248']||1||2015-02-11 13:08:13||2015-02-11 13:08:13||2015-02-11 13:08:13||['2015-02-11 13:27:44']||0.0||0
